MEDIUM_MEDIENINHABER,medium,RECHTSTRÄGER,LEERMELDUNG,QUARTAL,bekanntgabe_description,year,BEKANNTGABE,id,EURO
Diözese Eisenstadt,Diözese Eisenstadt,Bundeskanzleramt,0,20123,Förderungen,2012,4,176,40000.0
Österreichisch-slowakischer Kulturverein,Österreichisch-slowakischer Kulturverein,Bundeskanzleramt,0,20123,Förderungen,2012,4,177,9800.0
Gesünder leben,Gesünder Leben,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,178,5990.74
Heute,Heute,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,179,15177.39
Kosmo,Kosmo,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,180,13440.0
Kurier,Kurier,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,181,6471.9
Madonna mit Österreich,Österreich,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,182,14990.0
OÖNachrichten,OÖNachrichten,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,183,6276.9
Österreich,Österreich,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,184,45980.0
profil,Profil,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,185,39366.6
Salzburger Nachrichten,Salzburger Nachrichten,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,186,7461.72
tele,tele,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,187,12920.0
Tiroler Tageszeitung,Tiroler Tageszeitung,"Bundesministerium für Arbeit, Soziales und Konsumentenschutz",0,20123,Werbeaufträge und Medienkooperationen,2012,2,188,14163.26
